Algorithm,Representation,Vertices,Density,Number of Samples,Time
Kruskal,Matrix,400,99,50,21240.92891
Kruskal,List,10,25,50,0.00149202
Kruskal,List,10,50,50,0.00224186
Kruskal,List,10,99,50,0.00735278
Kruskal,List,50,25,50,0.20270676
Kruskal,List,50,50,50,0.77252808
Kruskal,List,50,99,50,3.04505734
Kruskal,List,100,25,50,3.25829036
Kruskal,List,100,50,50,12.30073886
Kruskal,List,100,99,50,47.43150804
Kruskal,List,150,25,50,16.29057356
Kruskal,List,150,50,50,64.42496728
Kruskal,List,150,99,50,245.6234462
Kruskal,List,200,25,50,49.47186194
Kruskal,List,200,50,50,203.4101936
Kruskal,List,200,99,50,744.1778232
Kruskal,List,250,25,50,118.8021749
Kruskal,List,250,50,50,473.7274128
Kruskal,List,250,99,50,1849.353796
Kruskal,List,300,25,50,256.7753389
Kruskal,List,300,50,50,965.8217955
Kruskal,List,300,99,50,3947.608434
Kruskal,List,400,25,50,792.0664276
Kruskal,List,400,50,50,3166.891168
Kruskal,List,400,99,50,13605.7839
